"id","cat_id","lat","lon","inner_x_diameter","inner_y_diameter","outer_x_diameter","r_eff","thickness","e","angle","dispersion","abslon"
92348,"MWP1G320098+07437",0.7437144,320.0977265,0.0100928,0.0126976,0.0208952,0.674498458315953,0.459852694054968,0.606794343450799,17.879,0.0017710,-39.9022735
92349,"MWP1G338283-03672",-0.3671965,338.2831525,0.0203727,0.0188636,0.0304148,1.02339541368948,0.426258818988399,0.377706486154823,44.516,0.0050217,-21.7168475
92350,"MWP1G339609-08947",-0.8947343,339.6093535,0.0565060,0.0521033,0.0882872,2.90073781107663,1.34906155827358,0.386988882767804,79.653,0.0109624,-20.3906465
92351,"MWP1G345496+03070",0.3070230,345.4959347,0.0191144,0.0195739,0.0331611,1.07825991451434,0.59597536191196,0.215404720298514,20.219,0.0038485,-14.5040653
92352,"MWP1G352235-01513",-0.1512792,352.2348618,0.0118339,0.0110554,0.0206915,0.646692216510942,0.375918735519606,0.356711958568369,3.662,0.0019023,-7.7651382
92353,"MWP1G009321-04231",-0.4230857,9.3207731,0.2032474,0.2090104,0.2529935,9.74359496191378,2.11071442408763,0.23320660901664,16.709,0.0365660,9.3207731
92354,"MWP1G014618+00251",0.0251058,14.6184856,0.0653269,0.0675096,0.0884736,3.27226171797855,0.982129637186603,0.25222620269211,32.287,0.0097360,14.6184856
92355,"MWP1G043451+05803",0.5802973,43.4509751,0.0338831,0.0371902,0.0488913,1.79805334220932,0.637229213336632,0.412238348937683,37.699,0.0139542,43.4509751
92356,"MWP1G042011+03486",0.3485561,42.0108886,0.0182284,0.0179657,0.0314934,1.01074559085954,0.56279484120773,0.169161051987594,50.259,0.0031721,42.0108886
92357,"MWP1G049593-04578",-0.4578239,49.5934537,0.0289324,0.0306142,0.0499075,1.64912477037066,0.890106440040535,0.326883307441116,12.384,0.0044976,49.5934537
92358,"MWP1G056083-01780",-0.1779874,56.0828308,0.0241486,0.0245872,0.0390460,1.3123483557845,0.632059038627602,0.188039587344597,15.347,0.0050478,56.0828308
92359,"MWP1G320258-03210",-0.3209803,320.2577162,0.0312427,0.0331177,0.0448425,1.62841257550844,0.577162842684725,0.33170333315452,30.086,0.0094806,-39.7422838
92360,"MWP1G323916+00320",0.0320058,323.9158475,0.0129048,0.0123096,0.0222386,0.705615815306272,0.396063008359352,0.300195724225575,6.287,0.0016434,-36.0841525
92361,"MWP1G331658+01312",0.1312467,331.6581909,0.0332188,0.0341106,0.0506731,1.76000414702812,0.740566015975146,0.22716778712052,13.319,0.0034314,-28.3418091
92362,"MWP1G333963+00644",0.0643610,333.9627544,0.0178841,0.0188932,0.0284847,0.979544561878983,0.449852798492182,0.32244192282973,21.345,0.0021046,-26.0372456
92363,"MWP1G340546+01178",0.1177689,340.5462512,0.0113821,0.0117869,0.0201478,0.651412615677654,0.37192947168245,0.259821028565045,6.963,0.0040990,-19.4537488
92364,"MWP1G349331+00185",0.0184951,349.3311254,0.0108843,0.0130909,0.0172562,0.62932803513376,0.271087731033195,0.555614307895342,20.624,0.0047013,-10.6688746
92365,"MWP1G357183-01442",-0.1442240,357.1829662,0.0159883,0.0158446,0.0285052,0.902553923178034,0.531050121076867,0.133771685119358,1.169,0.0022885,-2.8170338
92366,"MWP1G009246+01883",0.1883254,9.2461827,0.0296327,0.0292147,0.0544134,1.69434401440228,1.05137045837074,0.167371133138685,31.542,0.0034160,9.2461827
92367,"MWP1G008665-03423",-0.3423447,8.6645548,0.0144935,0.0146396,0.0244919,0.802550409304704,0.424199349539115,0.140925390581256,0.992,0.0017628,8.6645548
92368,"MWP1G020998+00789",0.0788991,20.9977882,0.0142451,0.0148198,0.0213117,0.751658760742343,0.299849888522808,0.275779939776733,44.848,0.0023882,20.9977882
92369,"MWP1G022757-02449",-0.2448968,22.7572956,0.0213931,0.0216739,0.0347941,1.1636449555822,0.568563727819844,0.160447811097971,1.786,0.0056001,22.7572956
92370,"MWP1G024763+06252",0.6252222,24.7625366,0.0309081,0.0326936,0.0512194,1.7271044753318,0.861942776149006,0.325950419601798,12.871,0.0047909,24.7625366
92371,"MWP1G032455+04085",0.4085196,32.4548436,0.0178653,0.0174767,0.0298603,0.971393602887172,0.508923075994315,0.207437202063924,3.240,0.0043420,32.4548436
92372,"MWP1G032439+04146",0.4145546,32.4390218,0.0104026,0.0100714,0.0205227,0.612459037973956,0.429387733725671,0.250325224416215,12.410,0.0013922,32.4390218
92373,"MWP1G037297+04595",0.4594897,37.2965256,0.0205120,0.0218098,0.0329348,1.13099478243107,0.527210983329045,0.33980852267966,35.077,0.0029745,37.2965256
92374,"MWP1G037179-04399",-0.4399334,37.1785994,0.0612638,0.0595593,0.0950430,3.20036107577078,1.43322155868767,0.234244584245797,0.651,0.0077413,37.1785994
92375,"MWP1G046098+04196",0.4196034,46.0978892,0.0198577,0.0205115,0.0320416,1.08444016755744,0.51696137887654,0.250466766022983,24.764,0.0052889,46.0978892
92376,"MWP1G048512+02338",0.2337796,48.5121684,0.0304261,0.0303847,0.0471672,1.6063358012202,0.710264826223982,0.0521487905590423,8.903,0.0036213,48.5121684
92377,"MWP1G303341-07180",-0.7180452,303.3409147,0.0181198,0.0184609,0.0295827,0.989723234253472,0.48634265702629,0.191343624294054,1.079,0.0020557,-56.6590853
92378,"MWP1G321799-05406",-0.5405705,321.7987023,0.0208125,0.0211754,0.0324468,1.11040064866724,0.493613408316128,0.184341848615692,38.419,0.0037537,-38.2012977
92379,"MWP1G333267-04392",-0.4391528,333.2665243,0.0165584,0.0159497,0.0244018,0.839654413678062,0.332806635170935,0.268645193534628,0.000,0.0013378,-26.7334757
92380,"MWP1G335818+04387",0.4387240,335.8183258,0.0551229,0.0579902,0.0799235,2.87787765659287,1.05243543297251,0.310554919459494,40.318,0.0070902,-24.1816742
92381,"MWP1G338329-02923",-0.2923426,338.3290247,0.0107338,0.0108506,0.0196997,0.619531663174695,0.380393963487834,0.146331443897476,18.548,0.0012611,-21.6709753
92382,"MWP1G339914-04757",-0.4756800,339.9139005,0.0342188,0.0339563,0.0515666,1.77649874365516,0.736008436843344,0.123626840505486,3.001,0.0036737,-20.0860995
92383,"MWP1G340601+03413",0.3413049,340.6006691,0.0118240,0.0127003,0.0191709,0.657867002619683,0.311827081006085,0.3650150204521,33.277,0.0015650,-19.3993309
92384,"MWP1G343593-01499",-0.1499173,343.5933950,0.0289470,0.0288193,0.0547174,1.68565098908713,1.09334688747912,0.0938272879141431,1.765,0.0080744,-16.4066050
92385,"MWP1G345494+03552",0.3551695,345.4941335,0.0192442,0.0203581,0.0308120,1.05736664611816,0.490902784597259,0.326246651836988,7.615,0.0027344,-14.5058665
92386,"MWP1G345913-02554",-0.2554281,345.9129921,0.0282470,0.0274842,0.0423860,1.45150229266449,0.59990424571834,0.230824662603654,52.600,0.0061118,-14.0870079
92387,"MWP1G348059+02450",0.2449789,348.0588698,0.0182833,0.0177599,0.0322851,1.01921183221175,0.594081315409129,0.23756034351434,13.183,0.0027764,-11.9411302
92388,"MWP1G351922+06422",0.6422177,351.9224255,0.0118831,0.0120292,0.0237029,0.715320001169573,0.501476350833267,0.15538140268994,26.105,0.0017707,-8.0775745
92389,"MWP1G351320-01440",-0.1440023,351.3196992,0.0259432,0.0255341,0.0419196,1.39019273945603,0.6778344541973,0.176888286920588,15.818,0.0049789,-8.6803008
92390,"MWP1G010624-03166",-0.3165504,10.6235275,0.0151577,0.0153111,0.0230795,0.796860711143199,0.336096312377006,0.141199761083595,45.397,0.0029666,10.6235275
92391,"MWP1G012910+04757",0.4757020,12.9100652,0.0129783,0.0129457,0.0239103,0.74664931813096,0.463805678855154,0.0708340375823365,14.666,0.0032878,12.9100652
92392,"MWP1G013318-00226",-0.0225911,13.3184080,0.0145727,0.0144942,0.0232718,0.779594914979562,0.369072397981799,0.103655932323338,0.000,0.0027611,13.3184080
92393,"MWP1G031621-02231",-0.2231464,31.6210507,0.0534434,0.0564731,0.0779467,2.80367256693644,1.03986022488798,0.323139188991839,36.207,0.0051502,31.6210507
92394,"MWP1G038181-00131",-0.0131188,38.1814275,0.0345137,0.0340098,0.0556621,1.84856726742845,0.897265624253185,0.170255216830383,36.127,0.0055161,38.1814275
92395,"MWP1G061447+01324",0.1324083,61.4467494,0.1080316,0.1047547,0.1693756,5.66768877043907,2.60280127676266,0.244428936077391,15.999,0.0268943,61.4467494
92397,"MWP1G312949+02628",0.2628203,312.9492526,0.0167308,0.0163125,0.0298593,0.93901969880383,0.557019953381792,0.222212728127978,30.088,0.0024252,-47.0507474
92398,"MWP1G313758-08552",-0.8551941,313.7578586,0.0103717,0.0100510,0.0206003,0.612934963502014,0.433989478108787,0.246749404086708,2.201,0.0021273,-46.2421414
92399,"MWP1G321115-02772",-0.2772252,321.1154030,0.0224434,0.0216907,0.0320193,1.12110277660473,0.406312240963304,0.256808530398071,8.713,0.0041620,-38.8845970
92400,"MWP1G321777-06467",-0.6467385,321.7768196,0.0200471,0.0204636,0.0337454,1.11262401158614,0.581187974039261,0.200729100547268,22.695,0.0041881,-38.2231804
92401,"MWP1G322398+02040",0.2039847,322.3975934,0.0195676,0.0195740,0.0334604,1.08574258451346,0.589421589988133,0.0255699388975272,7.792,0.0036872,-37.6024066
92402,"MWP1G325834+01937",0.1936583,325.8341275,0.0139243,0.0133322,0.0234523,0.753678410240922,0.40429495198044,0.288508891836658,0.895,0.0022088,-34.1658725
92403,"MWP1G326450+09028",0.9028286,326.4502249,0.0336815,0.0317813,0.0541082,1.76968720286123,0.866856386356335,0.331135331019908,31.904,0.0098309,-33.5497751
92404,"MWP1G328814+03154",0.3154227,328.8137795,0.0384637,0.0362568,0.0619784,2.02326783746039,0.997911401811478,0.333856743840204,39.920,0.0061638,-31.1862205
92405,"MWP1G337157-01775",-0.1775036,337.1570372,0.0537556,0.0575310,0.0829838,2.91552127455516,1.24051562857428,0.356287839667081,19.932,0.0160599,-22.8429628
92406,"MWP1G336871-03769",-0.3768641,336.8706230,0.0118871,0.0134090,0.0182585,0.657998507568196,0.270641566286681,0.462725520333584,24.427,0.0013732,-23.1293770
92407,"MWP1G336890+00615",0.0614913,336.8896604,0.0604515,0.0476077,0.0954548,2.94176327038221,1.49147493286704,0.616269336897287,36.749,0.0112015,-23.1103396
92408,"MWP1G341062-00433",-0.0432630,341.0621636,0.0553370,0.0609228,0.0951000,3.20030176117395,1.6881587500646,0.418290134169588,17.809,0.0186960,-18.9378364
92409,"MWP1G347301+03136",0.3136432,347.3014973,0.1273067,0.1319149,0.1596167,6.14621128002201,1.37097062066582,0.262003685657287,19.045,0.0196052,-12.6985027
92410,"MWP1G016386-05462",-0.5462109,16.3856767,0.0431693,0.0418756,0.0701335,2.30618523588087,1.14407512877358,0.242977422047683,7.200,0.0090701,16.3856767
92411,"MWP1G019029+04207",0.4207413,19.0294217,0.0252025,0.0235925,0.0458775,1.40686457984387,0.877424547139493,0.351687535041292,9.060,0.0041702,19.0294217
92412,"MWP1G028658+04946",0.4946206,28.6579680,0.0679153,0.0644070,0.0996880,3.41507440790103,1.34832169714716,0.3172468063506,18.842,0.0160267,28.6579680
92413,"MWP1G028419-01322",-0.1322326,28.4187615,0.0108825,0.0110000,0.0208225,0.641279881251383,0.421721669894788,0.145772202850773,7.400,0.0016536,28.4187615
92414,"MWP1G039527-04579",-0.4579092,39.5267248,0.0106425,0.0113075,0.0205350,0.642040647168938,0.41980457451243,0.337879224346813,33.540,0.0021864,39.5267248
92415,"MWP1G042056-01204",-0.1204170,42.0559298,0.0105000,0.0134050,0.0194500,0.670372761842622,0.381330939890775,0.621656707693298,8.896,0.0019886,42.0559298
92416,"MWP1G044717-06462",-0.6462454,44.7166171,0.0247850,0.0234475,0.0425575,1.34844216224088,0.754190284586457,0.324061813904436,20.932,0.0047179,44.7166171
92417,"MWP1G052766+03333",0.3332790,52.7660929,0.0205960,0.0204576,0.0329987,1.10303516656358,0.526203860436416,0.115733952481953,17.765,0.0046641,52.7660929
92418,"MWP1G052511-06172",-0.6172203,52.5107351,0.0211048,0.0204637,0.0345081,1.13092924750919,0.5686949797081,0.244604151734274,8.960,0.0053055,52.5107351
92419,"MWP1G336884-07525",-0.7525258,336.8840887,0.0187258,0.0186154,0.0298700,1.00099353787574,0.472809657486049,0.108427212101474,9.024,0.0032810,-23.1159113
92420,"MWP1G336198+03856",0.3856082,336.1975976,0.0383188,0.0363958,0.0544417,1.89634448903405,0.68419503571043,0.312809893079828,12.012,0.0057137,-23.8024024
92421,"MWP1G001105-00765",-0.0765262,1.1054679,0.0344300,0.0314712,0.0547170,1.77689284430863,0.861241983423428,0.405571513723296,32.438,0.0072118,1.1054679
92422,"MWP1G018081+00708",0.0707882,18.0812702,0.0186090,0.0182925,0.0302443,0.999597713163327,0.493655107323509,0.183647842799498,25.894,0.0041058,18.0812702
92423,"MWP1G018146+01795",0.1794734,18.1455027,0.0148831,0.0149153,0.0266552,0.845745717488101,0.499448067222357,0.0656738407708484,11.356,0.0016845,18.1455027
92424,"MWP1G019611-00844",-0.0843585,19.6107422,0.0140469,0.0136406,0.0233884,0.760093677545886,0.396351761972978,0.238772767011507,14.266,0.0038309,19.6107422
